Sub_District_PK,SubDistrict,District,State
Car Nicobar|Nicobar|Andaman & Nicobar Islands,Car Nicobar,Nicobar,Andaman & Nicobar Islands
Great Nicobar|Nicobar|Andaman & Nicobar Islands,Great Nicobar,Nicobar,Andaman & Nicobar Islands
Nancowry|Nicobar|Andaman & Nicobar Islands,Nancowry,Nicobar,Andaman & Nicobar Islands
Diglipur|North And Middle Andaman|Andaman & Nicobar Islands,Diglipur,North And Middle Andaman,Andaman & Nicobar Islands
Mayabunder|North And Middle Andaman|Andaman & Nicobar Islands,Mayabunder,North And Middle Andaman,Andaman & Nicobar Islands
Rangat|North And Middle Andaman|Andaman & Nicobar Islands,Rangat,North And Middle Andaman,Andaman & Nicobar Islands
Ferrargunj|South Andaman|Andaman & Nicobar Islands,Ferrargunj,South Andaman,Andaman & Nicobar Islands
Little Andaman|South Andaman|Andaman & Nicobar Islands,Little Andaman,South Andaman,Andaman & Nicobar Islands
Port Blair|South Andaman|Andaman & Nicobar Islands,Port Blair,South Andaman,Andaman & Nicobar Islands
Addateegala|Alluri Sitharama Raju|Andhra Pradesh,Addateegala,Alluri Sitharama Raju,Andhra Pradesh
Ananthagiri|Alluri Sitharama Raju|Andhra Pradesh,Ananthagiri,Alluri Sitharama Raju,Andhra Pradesh
Araku Valley|Alluri Sitharama Raju|Andhra Pradesh,Araku Valley,Alluri Sitharama Raju,Andhra Pradesh
Chintapalle|Alluri Sitharama Raju|Andhra Pradesh,Chintapalle,Alluri Sitharama Raju,Andhra Pradesh
Chintur|Alluri Sitharama Raju|Andhra Pradesh,Chintur,Alluri Sitharama Raju,Andhra Pradesh
Devipatnam|Alluri Sitharama Raju|Andhra Pradesh,Devipatnam,Alluri Sitharama Raju,Andhra Pradesh
Dumbriguda|Alluri Sitharama Raju|Andhra Pradesh,Dumbriguda,Alluri Sitharama Raju,Andhra Pradesh
G Madugula|Alluri Sitharama Raju|Andhra Pradesh,G Madugula,Alluri Sitharama Raju,Andhra Pradesh
Gangavaram|Alluri Sitharama Raju|Andhra Pradesh,Gangavaram,Alluri Sitharama Raju,Andhra Pradesh
Gudem Kotha Veedhi|Alluri Sitharama Raju|Andhra Pradesh,Gudem Kotha Veedhi,Alluri Sitharama Raju,Andhra Pradesh
Hukumpeta|Alluri Sitharama Raju|Andhra Pradesh,Hukumpeta,Alluri Sitharama Raju,Andhra Pradesh
Koyyuru|Alluri Sitharama Raju|Andhra Pradesh,Koyyuru,Alluri Sitharama Raju,Andhra Pradesh
Kunavaram|Alluri Sitharama Raju|Andhra Pradesh,Kunavaram,Alluri Sitharama Raju,Andhra Pradesh
Maredumilli|Alluri Sitharama Raju|Andhra Pradesh,Maredumilli,Alluri Sitharama Raju,Andhra Pradesh
Munchingi Puttu|Alluri Sitharama Raju|Andhra Pradesh,Munchingi Puttu,Alluri Sitharama Raju,Andhra Pradesh
Paderu|Alluri Sitharama Raju|Andhra Pradesh,Paderu,Alluri Sitharama Raju,Andhra Pradesh
Peda Bayalu|Alluri Sitharama Raju|Andhra Pradesh,Peda Bayalu,Alluri Sitharama Raju,Andhra Pradesh
Rajavommangi|Alluri Sitharama Raju|Andhra Pradesh,Rajavommangi,Alluri Sitharama Raju,Andhra Pradesh
Rampachodavaram|Alluri Sitharama Raju|Andhra Pradesh,Rampachodavaram,Alluri Sitharama Raju,Andhra Pradesh
Vararamachandrapuram|Alluri Sitharama Raju|Andhra Pradesh,Vararamachandrapuram,Alluri Sitharama Raju,Andhra Pradesh
Y Ramavaram|Alluri Sitharama Raju|Andhra Pradesh,Y Ramavaram,Alluri Sitharama Raju,Andhra Pradesh
Yetapaka|Alluri Sitharama Raju|Andhra Pradesh,Yetapaka,Alluri Sitharama Raju,Andhra Pradesh
Anakapalle|Anakapalli|Andhra Pradesh,Anakapalle,Anakapalli,Andhra Pradesh
Atchutapuram|Anakapalli|Andhra Pradesh,Atchutapuram,Anakapalli,Andhra Pradesh
Butchayyapeta|Anakapalli|Andhra Pradesh,Butchayyapeta,Anakapalli,Andhra Pradesh
Cheedikada|Anakapalli|Andhra Pradesh,Cheedikada,Anakapalli,Andhra Pradesh
Chodavaram|Anakapalli|Andhra Pradesh,Chodavaram,Anakapalli,Andhra Pradesh
Devarapalle|Anakapalli|Andhra Pradesh,Devarapalle,Anakapalli,Andhra Pradesh
Golugonda|Anakapalli|Andhra Pradesh,Golugonda,Anakapalli,Andhra Pradesh
K Kotapadu|Anakapalli|Andhra Pradesh,K Kotapadu,Anakapalli,Andhra Pradesh
Kasimkota|Anakapalli|Andhra Pradesh,Kasimkota,Anakapalli,Andhra Pradesh
Kotauratla|Anakapalli|Andhra Pradesh,Kotauratla,Anakapalli,Andhra Pradesh
Madugula|Anakapalli|Andhra Pradesh,Madugula,Anakapalli,Andhra Pradesh
Makavarapalem|Anakapalli|Andhra Pradesh,Makavarapalem,Anakapalli,Andhra Pradesh
Munagapaka|Anakapalli|Andhra Pradesh,Munagapaka,Anakapalli,Andhra Pradesh
Nakkapalle|Anakapalli|Andhra Pradesh,Nakkapalle,Anakapalli,Andhra Pradesh
Narsipatnam|Anakapalli|Andhra Pradesh,Narsipatnam,Anakapalli,Andhra Pradesh
Nathavaram|Anakapalli|Andhra Pradesh,Nathavaram,Anakapalli,Andhra Pradesh
Paravada|Anakapalli|Andhra Pradesh,Paravada,Anakapalli,Andhra Pradesh
Payakaraopeta|Anakapalli|Andhra Pradesh,Payakaraopeta,Anakapalli,Andhra Pradesh
Rambilli|Anakapalli|Andhra Pradesh,Rambilli,Anakapalli,Andhra Pradesh
Ravikamatham|Anakapalli|Andhra Pradesh,Ravikamatham,Anakapalli,Andhra Pradesh
Rollugunta|Anakapalli|Andhra Pradesh,Rollugunta,Anakapalli,Andhra Pradesh
S Rayavaram|Anakapalli|Andhra Pradesh,S Rayavaram,Anakapalli,Andhra Pradesh
Sabbavaram|Anakapalli|Andhra Pradesh,Sabbavaram,Anakapalli,Andhra Pradesh
Yelamanchili|Anakapalli|Andhra Pradesh,Yelamanchili,Anakapalli,Andhra Pradesh
Anantapur|Ananthapuramu|Andhra Pradesh,Anantapur,Ananthapuramu,Andhra Pradesh
Atmakur|Ananthapuramu|Andhra Pradesh,Atmakur,Ananthapuramu,Andhra Pradesh
Beluguppa|Ananthapuramu|Andhra Pradesh,Beluguppa,Ananthapuramu,Andhra Pradesh
Bommanahal|Ananthapuramu|Andhra Pradesh,Bommanahal,Ananthapuramu,Andhra Pradesh
Brahmasamudram|Ananthapuramu|Andhra Pradesh,Brahmasamudram,Ananthapuramu,Andhra Pradesh
Bukkaraya Samudram|Ananthapuramu|Andhra Pradesh,Bukkaraya Samudram,Ananthapuramu,Andhra Pradesh
D Hirehal|Ananthapuramu|Andhra Pradesh,D Hirehal,Ananthapuramu,Andhra Pradesh
Garladinne|Ananthapuramu|Andhra Pradesh,Garladinne,Ananthapuramu,Andhra Pradesh
Gooty|Ananthapuramu|Andhra Pradesh,Gooty,Ananthapuramu,Andhra Pradesh
Gummagatta|Ananthapuramu|Andhra Pradesh,Gummagatta,Ananthapuramu,Andhra Pradesh
Guntakal|Ananthapuramu|Andhra Pradesh,Guntakal,Ananthapuramu,Andhra Pradesh
Kalyandurg|Ananthapuramu|Andhra Pradesh,Kalyandurg,Ananthapuramu,Andhra Pradesh
Kambadur|Ananthapuramu|Andhra Pradesh,Kambadur,Ananthapuramu,Andhra Pradesh
Kanekal|Ananthapuramu|Andhra Pradesh,Kanekal,Ananthapuramu,Andhra Pradesh
Kudair|Ananthapuramu|Andhra Pradesh,Kudair,Ananthapuramu,Andhra Pradesh
Kundurpi|Ananthapuramu|Andhra Pradesh,Kundurpi,Ananthapuramu,Andhra Pradesh
Narpala|Ananthapuramu|Andhra Pradesh,Narpala,Ananthapuramu,Andhra Pradesh
Pamidi|Ananthapuramu|Andhra Pradesh,Pamidi,Ananthapuramu,Andhra Pradesh
Peddapappur|Ananthapuramu|Andhra Pradesh,Peddapappur,Ananthapuramu,Andhra Pradesh
Peddavadugur|Ananthapuramu|Andhra Pradesh,Peddavadugur,Ananthapuramu,Andhra Pradesh
Putlur|Ananthapuramu|Andhra Pradesh,Putlur,Ananthapuramu,Andhra Pradesh
Raptadu|Ananthapuramu|Andhra Pradesh,Raptadu,Ananthapuramu,Andhra Pradesh
Rayadurg|Ananthapuramu|Andhra Pradesh,Rayadurg,Ananthapuramu,Andhra Pradesh
Settur|Ananthapuramu|Andhra Pradesh,Settur,Ananthapuramu,Andhra Pradesh
Singanamala|Ananthapuramu|Andhra Pradesh,Singanamala,Ananthapuramu,Andhra Pradesh
Tadpatri|Ananthapuramu|Andhra Pradesh,Tadpatri,Ananthapuramu,Andhra Pradesh
Uravakonda|Ananthapuramu|Andhra Pradesh,Uravakonda,Ananthapuramu,Andhra Pradesh
Vajrakarur|Ananthapuramu|Andhra Pradesh,Vajrakarur,Ananthapuramu,Andhra Pradesh
Vidapanakal|Ananthapuramu|Andhra Pradesh,Vidapanakal,Ananthapuramu,Andhra Pradesh
Yadiki|Ananthapuramu|Andhra Pradesh,Yadiki,Ananthapuramu,Andhra Pradesh
Yellanur|Ananthapuramu|Andhra Pradesh,Yellanur,Ananthapuramu,Andhra Pradesh
B Kothakota|Annamayya|Andhra Pradesh,B Kothakota,Annamayya,Andhra Pradesh
Chinnamandem|Annamayya|Andhra Pradesh,Chinnamandem,Annamayya,Andhra Pradesh
Chitvel|Annamayya|Andhra Pradesh,Chitvel,Annamayya,Andhra Pradesh
Galiveedu|Annamayya|Andhra Pradesh,Galiveedu,Annamayya,Andhra Pradesh
Gurramkonda|Annamayya|Andhra Pradesh,Gurramkonda,Annamayya,Andhra Pradesh
Kalakada|Annamayya|Andhra Pradesh,Kalakada,Annamayya,Andhra Pradesh
Kalikiri|Annamayya|Andhra Pradesh,Kalikiri,Annamayya,Andhra Pradesh
Kambhamvaripalle|Annamayya|Andhra Pradesh,Kambhamvaripalle,Annamayya,Andhra Pradesh
Kodur|Annamayya|Andhra Pradesh,Kodur,Annamayya,Andhra Pradesh
Kurabalakota|Annamayya|Andhra Pradesh,Kurabalakota,Annamayya,Andhra Pradesh
Lakkireddipalle|Annamayya|Andhra Pradesh,Lakkireddipalle,Annamayya,Andhra Pradesh
Madanapalle|Annamayya|Andhra Pradesh,Madanapalle,Annamayya,Andhra Pradesh
Mulakalacheruvu|Annamayya|Andhra Pradesh,Mulakalacheruvu,Annamayya,Andhra Pradesh
Nandalur|Annamayya|Andhra Pradesh,Nandalur,Annamayya,Andhra Pradesh
Nimmanapalle|Annamayya|Andhra Pradesh,Nimmanapalle,Annamayya,Andhra Pradesh
Obulavaripalle|Annamayya|Andhra Pradesh,Obulavaripalle,Annamayya,Andhra Pradesh
Pedda Thippasamudram|Annamayya|Andhra Pradesh,Pedda Thippasamudram,Annamayya,Andhra Pradesh
Peddamandyam|Annamayya|Andhra Pradesh,Peddamandyam,Annamayya,Andhra Pradesh
Penagalur|Annamayya|Andhra Pradesh,Penagalur,Annamayya,Andhra Pradesh
Pileru|Annamayya|Andhra Pradesh,Pileru,Annamayya,Andhra Pradesh
Pullampeta|Annamayya|Andhra Pradesh,Pullampeta,Annamayya,Andhra Pradesh
Rajampet|Annamayya|Andhra Pradesh,Rajampet,Annamayya,Andhra Pradesh
Ramapuram|Annamayya|Andhra Pradesh,Ramapuram,Annamayya,Andhra Pradesh
Ramasamudram|Annamayya|Andhra Pradesh,Ramasamudram,Annamayya,Andhra Pradesh
Rayachoti|Annamayya|Andhra Pradesh,Rayachoti,Annamayya,Andhra Pradesh
Sambepalle|Annamayya|Andhra Pradesh,Sambepalle,Annamayya,Andhra Pradesh
T Sundupalle|Annamayya|Andhra Pradesh,T Sundupalle,Annamayya,Andhra Pradesh
Thamballapalle|Annamayya|Andhra Pradesh,Thamballapalle,Annamayya,Andhra Pradesh
Valmikipuram|Annamayya|Andhra Pradesh,Valmikipuram,Annamayya,Andhra Pradesh
Veeraballe|Annamayya|Andhra Pradesh,Veeraballe,Annamayya,Andhra Pradesh
Addanki|Bapatla|Andhra Pradesh,Addanki,Bapatla,Andhra Pradesh
Amruthalur|Bapatla|Andhra Pradesh,Amruthalur,Bapatla,Andhra Pradesh
Ballikurava|Bapatla|Andhra Pradesh,Ballikurava,Bapatla,Andhra Pradesh
Bapatla|Bapatla|Andhra Pradesh,Bapatla,Bapatla,Andhra Pradesh
Bhattiprolu|Bapatla|Andhra Pradesh,Bhattiprolu,Bapatla,Andhra Pradesh
Cherukupalle H O Arumbaka|Bapatla|Andhra Pradesh,Cherukupalle H O Arumbaka,Bapatla,Andhra Pradesh
Chinaganjam|Bapatla|Andhra Pradesh,Chinaganjam,Bapatla,Andhra Pradesh
Chirala|Bapatla|Andhra Pradesh,Chirala,Bapatla,Andhra Pradesh
Inkollu|Bapatla|Andhra Pradesh,Inkollu,Bapatla,Andhra Pradesh
Janakavarampanguluru|Bapatla|Andhra Pradesh,Janakavarampanguluru,Bapatla,Andhra Pradesh
Karamchedu|Bapatla|Andhra Pradesh,Karamchedu,Bapatla,Andhra Pradesh
Karlapalem|Bapatla|Andhra Pradesh,Karlapalem,Bapatla,Andhra Pradesh
Kollur|Bapatla|Andhra Pradesh,Kollur,Bapatla,Andhra Pradesh
Korisapadu|Bapatla|Andhra Pradesh,Korisapadu,Bapatla,Andhra Pradesh
Martur|Bapatla|Andhra Pradesh,Martur,Bapatla,Andhra Pradesh
Nagaram|Bapatla|Andhra Pradesh,Nagaram,Bapatla,Andhra Pradesh
Nizampatnam|Bapatla|Andhra Pradesh,Nizampatnam,Bapatla,Andhra Pradesh
Parchur|Bapatla|Andhra Pradesh,Parchur,Bapatla,Andhra Pradesh
Pittalavanipalem|Bapatla|Andhra Pradesh,Pittalavanipalem,Bapatla,Andhra Pradesh
Repalle|Bapatla|Andhra Pradesh,Repalle,Bapatla,Andhra Pradesh
Santhamaguluru|Bapatla|Andhra Pradesh,Santhamaguluru,Bapatla,Andhra Pradesh
Tsundur|Bapatla|Andhra Pradesh,Tsundur,Bapatla,Andhra Pradesh
Vemuru|Bapatla|Andhra Pradesh,Vemuru,Bapatla,Andhra Pradesh
Vetapalem|Bapatla|Andhra Pradesh,Vetapalem,Bapatla,Andhra Pradesh
Yeddana Pudi|Bapatla|Andhra Pradesh,Yeddana Pudi,Bapatla,Andhra Pradesh
Baireddipalle|Chittoor|Andhra Pradesh,Baireddipalle,Chittoor,Andhra Pradesh
Bangarupalem|Chittoor|Andhra Pradesh,Bangarupalem,Chittoor,Andhra Pradesh
Chittoor|Chittoor|Andhra Pradesh,Chittoor,Chittoor,Andhra Pradesh
Chowdepalle|Chittoor|Andhra Pradesh,Chowdepalle,Chittoor,Andhra Pradesh
Gangadhara Nellore|Chittoor|Andhra Pradesh,Gangadhara Nellore,Chittoor,Andhra Pradesh
Gangavaram|Chittoor|Andhra Pradesh,Gangavaram,Chittoor,Andhra Pradesh
Gudipala|Chittoor|Andhra Pradesh,Gudipala,Chittoor,Andhra Pradesh
Gudupalle|Chittoor|Andhra Pradesh,Gudupalle,Chittoor,Andhra Pradesh
Irala|Chittoor|Andhra Pradesh,Irala,Chittoor,Andhra Pradesh
Karvetinagar|Chittoor|Andhra Pradesh,Karvetinagar,Chittoor,Andhra Pradesh
Kuppam|Chittoor|Andhra Pradesh,Kuppam,Chittoor,Andhra Pradesh
Nagari|Chittoor|Andhra Pradesh,Nagari,Chittoor,Andhra Pradesh
Nindra|Chittoor|Andhra Pradesh,Nindra,Chittoor,Andhra Pradesh
Palamaner|Chittoor|Andhra Pradesh,Palamaner,Chittoor,Andhra Pradesh
Palasamudram|Chittoor|Andhra Pradesh,Palasamudram,Chittoor,Andhra Pradesh
Peddapanjani|Chittoor|Andhra Pradesh,Peddapanjani,Chittoor,Andhra Pradesh
Penumuru|Chittoor|Andhra Pradesh,Penumuru,Chittoor,Andhra Pradesh
Pulicherla|Chittoor|Andhra Pradesh,Pulicherla,Chittoor,Andhra Pradesh
Punganur|Chittoor|Andhra Pradesh,Punganur,Chittoor,Andhra Pradesh
Puthalapattu|Chittoor|Andhra Pradesh,Puthalapattu,Chittoor,Andhra Pradesh
Ramakuppam|Chittoor|Andhra Pradesh,Ramakuppam,Chittoor,Andhra Pradesh
Rompicherla|Chittoor|Andhra Pradesh,Rompicherla,Chittoor,Andhra Pradesh
Santhipuram|Chittoor|Andhra Pradesh,Santhipuram,Chittoor,Andhra Pradesh
Sodam|Chittoor|Andhra Pradesh,Sodam,Chittoor,Andhra Pradesh
Somala|Chittoor|Andhra Pradesh,Somala,Chittoor,Andhra Pradesh
Srirangarajapuram|Chittoor|Andhra Pradesh,Srirangarajapuram,Chittoor,Andhra Pradesh
Thavanampalle|Chittoor|Andhra Pradesh,Thavanampalle,Chittoor,Andhra Pradesh
Vedurukuppam|Chittoor|Andhra Pradesh,Vedurukuppam,Chittoor,Andhra Pradesh
Venkatagirikota|Chittoor|Andhra Pradesh,Venkatagirikota,Chittoor,Andhra Pradesh
Vijayapuram|Chittoor|Andhra Pradesh,Vijayapuram,Chittoor,Andhra Pradesh
Yadamarri|Chittoor|Andhra Pradesh,Yadamarri,Chittoor,Andhra Pradesh
Anaparthy|East Godavari|Andhra Pradesh,Anaparthy,East Godavari,Andhra Pradesh
Biccavolu|East Godavari|Andhra Pradesh,Biccavolu,East Godavari,Andhra Pradesh
Chagallu|East Godavari|Andhra Pradesh,Chagallu,East Godavari,Andhra Pradesh
Devarapalle|East Godavari|Andhra Pradesh,Devarapalle,East Godavari,Andhra Pradesh
Gokavaram|East Godavari|Andhra Pradesh,Gokavaram,East Godavari,Andhra Pradesh
Gopalapuram|East Godavari|Andhra Pradesh,Gopalapuram,East Godavari,Andhra Pradesh
Kadiam|East Godavari|Andhra Pradesh,Kadiam,East Godavari,Andhra Pradesh
Korukonda|East Godavari|Andhra Pradesh,Korukonda,East Godavari,Andhra Pradesh
Kovvur|East Godavari|Andhra Pradesh,Kovvur,East Godavari,Andhra Pradesh
Nallajerla|East Godavari|Andhra Pradesh,Nallajerla,East Godavari,Andhra Pradesh
Nidadavole|East Godavari|Andhra Pradesh,Nidadavole,East Godavari,Andhra Pradesh
Peravali|East Godavari|Andhra Pradesh,Peravali,East Godavari,Andhra Pradesh
Rajamahendravaram Rural|East Godavari|Andhra Pradesh,Rajamahendravaram Rural,East Godavari,Andhra Pradesh
Rajamahendravaram Urban|East Godavari|Andhra Pradesh,Rajamahendravaram Urban,East Godavari,Andhra Pradesh
Rajanagaram|East Godavari|Andhra Pradesh,Rajanagaram,East Godavari,Andhra Pradesh
Rangampeta|East Godavari|Andhra Pradesh,Rangampeta,East Godavari,Andhra Pradesh
Seethanagaram|East Godavari|Andhra Pradesh,Seethanagaram,East Godavari,Andhra Pradesh
Tallapudi|East Godavari|Andhra Pradesh,Tallapudi,East Godavari,Andhra Pradesh
Undrajavaram|East Godavari|Andhra Pradesh,Undrajavaram,East Godavari,Andhra Pradesh
Agiripalle|Eluru|Andhra Pradesh,Agiripalle,Eluru,Andhra Pradesh
Bhimadole|Eluru|Andhra Pradesh,Bhimadole,Eluru,Andhra Pradesh
Buttayagudem|Eluru|Andhra Pradesh,Buttayagudem,Eluru,Andhra Pradesh
Chatrai|Eluru|Andhra Pradesh,Chatrai,Eluru,Andhra Pradesh
Chintalapudi|Eluru|Andhra Pradesh,Chintalapudi,Eluru,Andhra Pradesh
Denduluru|Eluru|Andhra Pradesh,Denduluru,Eluru,Andhra Pradesh
Dwarakatirumala|Eluru|Andhra Pradesh,Dwarakatirumala,Eluru,Andhra Pradesh
Eluru|Eluru|Andhra Pradesh,Eluru,Eluru,Andhra Pradesh
Ganapavaram|Eluru|Andhra Pradesh,Ganapavaram,Eluru,Andhra Pradesh
Jangareddigudem|Eluru|Andhra Pradesh,Jangareddigudem,Eluru,Andhra Pradesh
Jeelugu Milli|Eluru|Andhra Pradesh,Jeelugu Milli,Eluru,Andhra Pradesh
Kaikalur|Eluru|Andhra Pradesh,Kaikalur,Eluru,Andhra Pradesh
Kalidindi|Eluru|Andhra Pradesh,Kalidindi,Eluru,Andhra Pradesh
Kamavarapukota|Eluru|Andhra Pradesh,Kamavarapukota,Eluru,Andhra Pradesh
Koyyalagudem|Eluru|Andhra Pradesh,Koyyalagudem,Eluru,Andhra Pradesh
Kukunoor|Eluru|Andhra Pradesh,Kukunoor,Eluru,Andhra Pradesh
Lingapalem|Eluru|Andhra Pradesh,Lingapalem,Eluru,Andhra Pradesh
Mandavalli|Eluru|Andhra Pradesh,Mandavalli,Eluru,Andhra Pradesh
Mudinepalle|Eluru|Andhra Pradesh,Mudinepalle,Eluru,Andhra Pradesh
Musunuru|Eluru|Andhra Pradesh,Musunuru,Eluru,Andhra Pradesh
Nidamarru|Eluru|Andhra Pradesh,Nidamarru,Eluru,Andhra Pradesh
Nuzvid|Eluru|Andhra Pradesh,Nuzvid,Eluru,Andhra Pradesh
Pedapadu|Eluru|Andhra Pradesh,Pedapadu,Eluru,Andhra Pradesh
Pedavegi|Eluru|Andhra Pradesh,Pedavegi,Eluru,Andhra Pradesh
Polavaram|Eluru|Andhra Pradesh,Polavaram,Eluru,Andhra Pradesh
T Narasapuram|Eluru|Andhra Pradesh,T Narasapuram,Eluru,Andhra Pradesh
Unguturu|Eluru|Andhra Pradesh,Unguturu,Eluru,Andhra Pradesh
Velairpadu|Eluru|Andhra Pradesh,Velairpadu,Eluru,Andhra Pradesh
Chebrolu|Guntur|Andhra Pradesh,Chebrolu,Guntur,Andhra Pradesh
Duggirala|Guntur|Andhra Pradesh,Duggirala,Guntur,Andhra Pradesh
Guntur|Guntur|Andhra Pradesh,Guntur,Guntur,Andhra Pradesh
Guntur East|Guntur|Andhra Pradesh,Guntur East,Guntur,Andhra Pradesh
Kakumanu|Guntur|Andhra Pradesh,Kakumanu,Guntur,Andhra Pradesh
Kollipara|Guntur|Andhra Pradesh,Kollipara,Guntur,Andhra Pradesh
Mangalagiri|Guntur|Andhra Pradesh,Mangalagiri,Guntur,Andhra Pradesh
Medikonduru|Guntur|Andhra Pradesh,Medikonduru,Guntur,Andhra Pradesh
Pedakakani|Guntur|Andhra Pradesh,Pedakakani,Guntur,Andhra Pradesh
Pedanandipadu|Guntur|Andhra Pradesh,Pedanandipadu,Guntur,Andhra Pradesh
Phirangipuram|Guntur|Andhra Pradesh,Phirangipuram,Guntur,Andhra Pradesh
Ponnur|Guntur|Andhra Pradesh,Ponnur,Guntur,Andhra Pradesh
Prathipadu|Guntur|Andhra Pradesh,Prathipadu,Guntur,Andhra Pradesh
Tadepalle|Guntur|Andhra Pradesh,Tadepalle,Guntur,Andhra Pradesh
Tadikonda|Guntur|Andhra Pradesh,Tadikonda,Guntur,Andhra Pradesh
Tenali|Guntur|Andhra Pradesh,Tenali,Guntur,Andhra Pradesh
Thullur|Guntur|Andhra Pradesh,Thullur,Guntur,Andhra Pradesh
Vatticherukuru|Guntur|Andhra Pradesh,Vatticherukuru,Guntur,Andhra Pradesh
Gandepalle|Kakinada|Andhra Pradesh,Gandepalle,Kakinada,Andhra Pradesh
Gollaprolu|Kakinada|Andhra Pradesh,Gollaprolu,Kakinada,Andhra Pradesh
Jaggampeta|Kakinada|Andhra Pradesh,Jaggampeta,Kakinada,Andhra Pradesh
Kajuluru|Kakinada|Andhra Pradesh,Kajuluru,Kakinada,Andhra Pradesh
Kakinada Rural|Kakinada|Andhra Pradesh,Kakinada Rural,Kakinada,Andhra Pradesh
Karapa|Kakinada|Andhra Pradesh,Karapa,Kakinada,Andhra Pradesh
Kirlampudi|Kakinada|Andhra Pradesh,Kirlampudi,Kakinada,Andhra Pradesh
Kotananduru|Kakinada|Andhra Pradesh,Kotananduru,Kakinada,Andhra Pradesh
Kothapalle|Kakinada|Andhra Pradesh,Kothapalle,Kakinada,Andhra Pradesh
Pedapudi|Kakinada|Andhra Pradesh,Pedapudi,Kakinada,Andhra Pradesh
Peddapuram|Kakinada|Andhra Pradesh,Peddapuram,Kakinada,Andhra Pradesh
Pithapuram|Kakinada|Andhra Pradesh,Pithapuram,Kakinada,Andhra Pradesh
Prathipadu|Kakinada|Andhra Pradesh,Prathipadu,Kakinada,Andhra Pradesh
Rowthulapudi|Kakinada|Andhra Pradesh,Rowthulapudi,Kakinada,Andhra Pradesh
Samalkota|Kakinada|Andhra Pradesh,Samalkota,Kakinada,Andhra Pradesh
Sankhavaram|Kakinada|Andhra Pradesh,Sankhavaram,Kakinada,Andhra Pradesh
Thallarevu|Kakinada|Andhra Pradesh,Thallarevu,Kakinada,Andhra Pradesh
Thondangi|Kakinada|Andhra Pradesh,Thondangi,Kakinada,Andhra Pradesh
Tuni|Kakinada|Andhra Pradesh,Tuni,Kakinada,Andhra Pradesh
Yeleswaram|Kakinada|Andhra Pradesh,Yeleswaram,Kakinada,Andhra Pradesh
Ainavilli|Konaseema|Andhra Pradesh,Ainavilli,Konaseema,Andhra Pradesh
Alamuru|Konaseema|Andhra Pradesh,Alamuru,Konaseema,Andhra Pradesh
Allavaram|Konaseema|Andhra Pradesh,Allavaram,Konaseema,Andhra Pradesh
Amalapuram|Konaseema|Andhra Pradesh,Amalapuram,Konaseema,Andhra Pradesh
Ambajipeta|Konaseema|Andhra Pradesh,Ambajipeta,Konaseema,Andhra Pradesh
Atreyapuram|Konaseema|Andhra Pradesh,Atreyapuram,Konaseema,Andhra Pradesh
I Polavaram|Konaseema|Andhra Pradesh,I Polavaram,Konaseema,Andhra Pradesh
K Gangavaram|Konaseema|Andhra Pradesh,K Gangavaram,Konaseema,Andhra Pradesh
Kapileswarapuram|Konaseema|Andhra Pradesh,Kapileswarapuram,Konaseema,Andhra Pradesh
Katrenikona|Konaseema|Andhra Pradesh,Katrenikona,Konaseema,Andhra Pradesh
Kothapeta|Konaseema|Andhra Pradesh,Kothapeta,Konaseema,Andhra Pradesh
Malikipuram|Konaseema|Andhra Pradesh,Malikipuram,Konaseema,Andhra Pradesh
Mamidikuduru|Konaseema|Andhra Pradesh,Mamidikuduru,Konaseema,Andhra Pradesh
Mandapeta|Konaseema|Andhra Pradesh,Mandapeta,Konaseema,Andhra Pradesh
Mummidivaram|Konaseema|Andhra Pradesh,Mummidivaram,Konaseema,Andhra Pradesh
P Gannavaram|Konaseema|Andhra Pradesh,P Gannavaram,Konaseema,Andhra Pradesh
Ramachandrapuram|Konaseema|Andhra Pradesh,Ramachandrapuram,Konaseema,Andhra Pradesh
Ravulapalem|Konaseema|Andhra Pradesh,Ravulapalem,Konaseema,Andhra Pradesh
Rayavaram|Konaseema|Andhra Pradesh,Rayavaram,Konaseema,Andhra Pradesh
Razole|Konaseema|Andhra Pradesh,Razole,Konaseema,Andhra Pradesh
Sakhinetipalle|Konaseema|Andhra Pradesh,Sakhinetipalle,Konaseema,Andhra Pradesh
Uppalaguptam|Konaseema|Andhra Pradesh,Uppalaguptam,Konaseema,Andhra Pradesh
Avanigadda|Krishna|Andhra Pradesh,Avanigadda,Krishna,Andhra Pradesh
Bantumilli|Krishna|Andhra Pradesh,Bantumilli,Krishna,Andhra Pradesh
Bapulapadu|Krishna|Andhra Pradesh,Bapulapadu,Krishna,Andhra Pradesh
Challapalle|Krishna|Andhra Pradesh,Challapalle,Krishna,Andhra Pradesh
Gannavaram|Krishna|Andhra Pradesh,Gannavaram,Krishna,Andhra Pradesh
Ghantasala|Krishna|Andhra Pradesh,Ghantasala,Krishna,Andhra Pradesh
Gudivada|Krishna|Andhra Pradesh,Gudivada,Krishna,Andhra Pradesh
Gudlavalleru|Krishna|Andhra Pradesh,Gudlavalleru,Krishna,Andhra Pradesh
Guduru|Krishna|Andhra Pradesh,Guduru,Krishna,Andhra Pradesh
Kankipadu|Krishna|Andhra Pradesh,Kankipadu,Krishna,Andhra Pradesh
