District_PK,District,State
Kurung Kumey|Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh
Lepa Rada|Arunachal Pradesh,Lepa Rada,Arunachal Pradesh
Lohit|Arunachal Pradesh,Lohit,Arunachal Pradesh
Longding|Arunachal Pradesh,Longding,Arunachal Pradesh
Lower Dibang Valley|Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh
Lower Siang|Arunachal Pradesh,Lower Siang,Arunachal Pradesh
Lower Subansiri|Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh
Namsai|Arunachal Pradesh,Namsai,Arunachal Pradesh
Pakke Kessang|Arunachal Pradesh,Pakke Kessang,Arunachal Pradesh
Papum Pare|Arunachal Pradesh,Papum Pare,Arunachal Pradesh
Shi Yomi|Arunachal Pradesh,Shi Yomi,Arunachal Pradesh
Siang|Arunachal Pradesh,Siang,Arunachal Pradesh
Tawang|Arunachal Pradesh,Tawang,Arunachal Pradesh
Tirap|Arunachal Pradesh,Tirap,Arunachal Pradesh
Upper Siang|Arunachal Pradesh,Upper Siang,Arunachal Pradesh
Upper Subansiri|Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh
West Kameng|Arunachal Pradesh,West Kameng,Arunachal Pradesh
West Siang|Arunachal Pradesh,West Siang,Arunachal Pradesh
Bajali|Assam,Bajali,Assam
Baksa|Assam,Baksa,Assam
Barpeta|Assam,Barpeta,Assam
Biswanath|Assam,Biswanath,Assam
Bongaigaon|Assam,Bongaigaon,Assam
Cachar|Assam,Cachar,Assam
Charaideo|Assam,Charaideo,Assam
Chirang|Assam,Chirang,Assam
Darrang|Assam,Darrang,Assam
Dhemaji|Assam,Dhemaji,Assam
Dhubri|Assam,Dhubri,Assam
Dibrugarh|Assam,Dibrugarh,Assam
Dima Hasao|Assam,Dima Hasao,Assam
Goalpara|Assam,Goalpara,Assam
Golaghat|Assam,Golaghat,Assam
Hailakandi|Assam,Hailakandi,Assam
Hojai|Assam,Hojai,Assam
Jorhat|Assam,Jorhat,Assam
Kamrup|Assam,Kamrup,Assam
Kamrup Metropolitan|Assam,Kamrup Metropolitan,Assam
Karbi Anglong|Assam,Karbi Anglong,Assam
Karimganj|Assam,Karimganj,Assam
Kokrajhar|Assam,Kokrajhar,Assam
Lakhimpur|Assam,Lakhimpur,Assam
Majuli|Assam,Majuli,Assam
Morigaon|Assam,Morigaon,Assam
Nagaon|Assam,Nagaon,Assam
Nalbari|Assam,Nalbari,Assam
Sivasagar|Assam,Sivasagar,Assam
Sonitpur|Assam,Sonitpur,Assam
South Salmara Mankachar|Assam,South Salmara Mankachar,Assam
Tamulpur|Assam,Tamulpur,Assam
Tinsukia|Assam,Tinsukia,Assam
Udalguri|Assam,Udalguri,Assam
West Karbi Anglong|Assam,West Karbi Anglong,Assam
Araria|Bihar,Araria,Bihar
Arwal|Bihar,Arwal,Bihar
Aurangabad|Bihar,Aurangabad,Bihar
Banka|Bihar,Banka,Bihar
Begusarai|Bihar,Begusarai,Bihar
Bhagalpur|Bihar,Bhagalpur,Bihar
Bhojpur|Bihar,Bhojpur,Bihar
Buxar|Bihar,Buxar,Bihar
Darbhanga|Bihar,Darbhanga,Bihar
Gaya|Bihar,Gaya,Bihar
Gopalganj|Bihar,Gopalganj,Bihar
Jamui|Bihar,Jamui,Bihar
Jehanabad|Bihar,Jehanabad,Bihar
Kaimur|Bihar,Kaimur,Bihar
Katihar|Bihar,Katihar,Bihar
Khagaria|Bihar,Khagaria,Bihar
Kishanganj|Bihar,Kishanganj,Bihar
Lakhisarai|Bihar,Lakhisarai,Bihar
Madhepura|Bihar,Madhepura,Bihar
Madhubani|Bihar,Madhubani,Bihar
Munger|Bihar,Munger,Bihar
Muzaffarpur|Bihar,Muzaffarpur,Bihar
Nalanda|Bihar,Nalanda,Bihar
Nawada|Bihar,Nawada,Bihar
Pashchim Champaran|Bihar,Pashchim Champaran,Bihar
Patna|Bihar,Patna,Bihar
Purbi Champaran|Bihar,Purbi Champaran,Bihar
Purnea|Bihar,Purnea,Bihar
Rohtas|Bihar,Rohtas,Bihar
Saharsa|Bihar,Saharsa,Bihar
Samastipur|Bihar,Samastipur,Bihar
Saran|Bihar,Saran,Bihar
Sheikhpura|Bihar,Sheikhpura,Bihar
Sheohar|Bihar,Sheohar,Bihar
Sitamarhi|Bihar,Sitamarhi,Bihar
Siwan|Bihar,Siwan,Bihar
Supaul|Bihar,Supaul,Bihar
Vaishali|Bihar,Vaishali,Bihar
Chandigarh|Chandigarh,Chandigarh,Chandigarh
Balod|Chhattisgarh,Balod,Chhattisgarh
Balodabazar Bhatapara|Chhattisgarh,Balodabazar Bhatapara,Chhattisgarh
Balrampur|Chhattisgarh,Balrampur,Chhattisgarh
Bastar|Chhattisgarh,Bastar,Chhattisgarh
Bemetara|Chhattisgarh,Bemetara,Chhattisgarh
Bijapur|Chhattisgarh,Bijapur,Chhattisgarh
Bilaspur|Chhattisgarh,Bilaspur,Chhattisgarh
Dantewada|Chhattisgarh,Dantewada,Chhattisgarh
Dhamtari|Chhattisgarh,Dhamtari,Chhattisgarh
Durg|Chhattisgarh,Durg,Chhattisgarh
Gariaband|Chhattisgarh,Gariaband,Chhattisgarh
Gaurela Pendra Marwahi|Chhattisgarh,Gaurela Pendra Marwahi,Chhattisgarh
Janjgir Champa|Chhattisgarh,Janjgir Champa,Chhattisgarh
Jashpur|Chhattisgarh,Jashpur,Chhattisgarh
Kabirdham|Chhattisgarh,Kabirdham,Chhattisgarh
Khairagarh Chhuikhadan Gandai|Chhattisgarh,Khairagarh Chhuikhadan Gandai,Chhattisgarh
Kondagaon|Chhattisgarh,Kondagaon,Chhattisgarh
Korba|Chhattisgarh,Korba,Chhattisgarh
Korea|Chhattisgarh,Korea,Chhattisgarh
Mahasamund|Chhattisgarh,Mahasamund,Chhattisgarh
Mungeli|Chhattisgarh,Mungeli,Chhattisgarh
Narayanpur|Chhattisgarh,Narayanpur,Chhattisgarh
North Bastar Kanker|Chhattisgarh,North Bastar Kanker,Chhattisgarh
Raigarh|Chhattisgarh,Raigarh,Chhattisgarh
Raipur|Chhattisgarh,Raipur,Chhattisgarh
Rajnandgaon|Chhattisgarh,Rajnandgaon,Chhattisgarh
Sukma|Chhattisgarh,Sukma,Chhattisgarh
Surajpur|Chhattisgarh,Surajpur,Chhattisgarh
Surguja|Chhattisgarh,Surguja,Chhattisgarh
Dadra And Nagar Haveli|Dadra & Nagar Haveli & Daman & Diu,Dadra And Nagar Haveli,Dadra & Nagar Haveli & Daman & Diu
Daman|Dadra & Nagar Haveli & Daman & Diu,Daman,Dadra & Nagar Haveli & Daman & Diu
Diu|Dadra & Nagar Haveli & Daman & Diu,Diu,Dadra & Nagar Haveli & Daman & Diu
Central|Delhi,Central,Delhi
East|Delhi,East,Delhi
North|Delhi,North,Delhi
North East|Delhi,North East,Delhi
North West|Delhi,North West,Delhi
South|Delhi,South,Delhi
South West|Delhi,South West,Delhi
West|Delhi,West,Delhi
North Goa|Goa,North Goa,Goa
South Goa|Goa,South Goa,Goa
Ahmedabad|Gujarat,Ahmedabad,Gujarat
Amreli|Gujarat,Amreli,Gujarat
Anand|Gujarat,Anand,Gujarat
Aravalli|Gujarat,Aravalli,Gujarat
Banaskantha|Gujarat,Banaskantha,Gujarat
Bharuch|Gujarat,Bharuch,Gujarat
Bhavnagar|Gujarat,Bhavnagar,Gujarat
Botad|Gujarat,Botad,Gujarat
Chhotaudepur|Gujarat,Chhotaudepur,Gujarat
Dahod|Gujarat,Dahod,Gujarat
Dangs|Gujarat,Dangs,Gujarat
Devbhumi Dwarka|Gujarat,Devbhumi Dwarka,Gujarat
Gandhinagar|Gujarat,Gandhinagar,Gujarat
Gir Somnath|Gujarat,Gir Somnath,Gujarat
Jamnagar|Gujarat,Jamnagar,Gujarat
Junagadh|Gujarat,Junagadh,Gujarat
Kachchh|Gujarat,Kachchh,Gujarat
Kheda|Gujarat,Kheda,Gujarat
Mahesana|Gujarat,Mahesana,Gujarat
Mahisagar|Gujarat,Mahisagar,Gujarat
Morbi|Gujarat,Morbi,Gujarat
Narmada|Gujarat,Narmada,Gujarat
Navsari|Gujarat,Navsari,Gujarat
Panchmahals|Gujarat,Panchmahals,Gujarat
Patan|Gujarat,Patan,Gujarat
Porbandar|Gujarat,Porbandar,Gujarat
Rajkot|Gujarat,Rajkot,Gujarat
Sabarkantha|Gujarat,Sabarkantha,Gujarat
Surat|Gujarat,Surat,Gujarat
Surendranagar|Gujarat,Surendranagar,Gujarat
Tapi|Gujarat,Tapi,Gujarat
Vadodara|Gujarat,Vadodara,Gujarat
Valsad|Gujarat,Valsad,Gujarat
Ambala|Haryana,Ambala,Haryana
Bhiwani|Haryana,Bhiwani,Haryana
Charkhi Dadri|Haryana,Charkhi Dadri,Haryana
Faridabad|Haryana,Faridabad,Haryana
Fatehabad|Haryana,Fatehabad,Haryana
Gurugram|Haryana,Gurugram,Haryana
Hisar|Haryana,Hisar,Haryana
Jhajjar|Haryana,Jhajjar,Haryana
Jind|Haryana,Jind,Haryana
Kaithal|Haryana,Kaithal,Haryana
Karnal|Haryana,Karnal,Haryana
Kurukshetra|Haryana,Kurukshetra,Haryana
Mahendragarh|Haryana,Mahendragarh,Haryana
Nuh|Haryana,Nuh,Haryana
Palwal|Haryana,Palwal,Haryana
Panchkula|Haryana,Panchkula,Haryana
Panipat|Haryana,Panipat,Haryana
Rewari|Haryana,Rewari,Haryana
Rohtak|Haryana,Rohtak,Haryana
Sirsa|Haryana,Sirsa,Haryana
Sonipat|Haryana,Sonipat,Haryana
Yamunanagar|Haryana,Yamunanagar,Haryana
Bilaspur|Himachal Pradesh,Bilaspur,Himachal Pradesh
Chamba|Himachal Pradesh,Chamba,Himachal Pradesh
Hamirpur|Himachal Pradesh,Hamirpur,Himachal Pradesh
Kangra|Himachal Pradesh,Kangra,Himachal Pradesh
Kinnaur|Himachal Pradesh,Kinnaur,Himachal Pradesh
Kullu|Himachal Pradesh,Kullu,Himachal Pradesh
Lahaul And Spiti|Himachal Pradesh,Lahaul And Spiti,Himachal Pradesh
Mandi|Himachal Pradesh,Mandi,Himachal Pradesh
Shimla|Himachal Pradesh,Shimla,Himachal Pradesh
Sirmaur|Himachal Pradesh,Sirmaur,Himachal Pradesh
Solan|Himachal Pradesh,Solan,Himachal Pradesh
Una|Himachal Pradesh,Una,Himachal Pradesh
Anantnag|Jammu & Kashmir,Anantnag,Jammu & Kashmir
Bandipore|Jammu & Kashmir,Bandipore,Jammu & Kashmir
Baramulla|Jammu & Kashmir,Baramulla,Jammu & Kashmir
Budgam|Jammu & Kashmir,Budgam,Jammu & Kashmir
Doda|Jammu & Kashmir,Doda,Jammu & Kashmir
Ganderbal|Jammu & Kashmir,Ganderbal,Jammu & Kashmir
Jammu|Jammu & Kashmir,Jammu,Jammu & Kashmir
Kathua|Jammu & Kashmir,Kathua,Jammu & Kashmir
Kishtwar|Jammu & Kashmir,Kishtwar,Jammu & Kashmir
Kulgam|Jammu & Kashmir,Kulgam,Jammu & Kashmir
Kupwara|Jammu & Kashmir,Kupwara,Jammu & Kashmir
Poonch|Jammu & Kashmir,Poonch,Jammu & Kashmir
Pulwama|Jammu & Kashmir,Pulwama,Jammu & Kashmir
Rajouri|Jammu & Kashmir,Rajouri,Jammu & Kashmir
Ramban|Jammu & Kashmir,Ramban,Jammu & Kashmir
Reasi|Jammu & Kashmir,Reasi,Jammu & Kashmir
Samba|Jammu & Kashmir,Samba,Jammu & Kashmir
Shopian|Jammu & Kashmir,Shopian,Jammu & Kashmir
Srinagar|Jammu & Kashmir,Srinagar,Jammu & Kashmir
Udhampur|Jammu & Kashmir,Udhampur,Jammu & Kashmir
Bokaro|Jharkhand,Bokaro,Jharkhand
Chatra|Jharkhand,Chatra,Jharkhand
Deoghar|Jharkhand,Deoghar,Jharkhand
Dhanbad|Jharkhand,Dhanbad,Jharkhand
Dumka|Jharkhand,Dumka,Jharkhand
East Singhbhum|Jharkhand,East Singhbhum,Jharkhand
Garhwa|Jharkhand,Garhwa,Jharkhand
Giridih|Jharkhand,Giridih,Jharkhand
Godda|Jharkhand,Godda,Jharkhand
Gumla|Jharkhand,Gumla,Jharkhand
Hazaribag|Jharkhand,Hazaribag,Jharkhand
Jamtara|Jharkhand,Jamtara,Jharkhand
Khunti|Jharkhand,Khunti,Jharkhand
Koderma|Jharkhand,Koderma,Jharkhand
Latehar|Jharkhand,Latehar,Jharkhand
Lohardaga|Jharkhand,Lohardaga,Jharkhand
Pakur|Jharkhand,Pakur,Jharkhand
Palamu|Jharkhand,Palamu,Jharkhand
Ramgarh|Jharkhand,Ramgarh,Jharkhand
Ranchi|Jharkhand,Ranchi,Jharkhand
Sahibganj|Jharkhand,Sahibganj,Jharkhand
Seraikela Kharsawan|Jharkhand,Seraikela Kharsawan,Jharkhand
Simdega|Jharkhand,Simdega,Jharkhand
West Singhbhum|Jharkhand,West Singhbhum,Jharkhand
Bagalkote|Karnataka,Bagalkote,Karnataka
Ballari|Karnataka,Ballari,Karnataka
Belagavi|Karnataka,Belagavi,Karnataka
Bengaluru Rural|Karnataka,Bengaluru Rural,Karnataka
Bengaluru Urban|Karnataka,Bengaluru Urban,Karnataka
Bidar|Karnataka,Bidar,Karnataka
Chamarajanagar|Karnataka,Chamarajanagar,Karnataka
Chikkaballapur|Karnataka,Chikkaballapur,Karnataka
Chikkamagaluru|Karnataka,Chikkamagaluru,Karnataka
Chitradurga|Karnataka,Chitradurga,Karnataka
Dakshina Kannada|Karnataka,Dakshina Kannada,Karnataka
Davanagere|Karnataka,Davanagere,Karnataka
Dharwad|Karnataka,Dharwad,Karnataka
Gadag|Karnataka,Gadag,Karnataka
Hassan|Karnataka,Hassan,Karnataka
Haveri|Karnataka,Haveri,Karnataka
Kalaburagi|Karnataka,Kalaburagi,Karnataka
Kodagu|Karnataka,Kodagu,Karnataka
Kolar|Karnataka,Kolar,Karnataka
Koppal|Karnataka,Koppal,Karnataka
Mandya|Karnataka,Mandya,Karnataka
Mysuru|Karnataka,Mysuru,Karnataka
Raichur|Karnataka,Raichur,Karnataka
Ramanagara|Karnataka,Ramanagara,Karnataka
Shivamogga|Karnataka,Shivamogga,Karnataka
Tumakuru|Karnataka,Tumakuru,Karnataka
Udupi|Karnataka,Udupi,Karnataka
Uttara Kannada|Karnataka,Uttara Kannada,Karnataka
Vijayanagara|Karnataka,Vijayanagara,Karnataka
Vijayapura|Karnataka,Vijayapura,Karnataka
Yadgiri|Karnataka,Yadgiri,Karnataka
Alappuzha|Kerala,Alappuzha,Kerala
Ernakulam|Kerala,Ernakulam,Kerala
Idukki|Kerala,Idukki,Kerala
Kannur|Kerala,Kannur,Kerala
Kasargod|Kerala,Kasargod,Kerala
Kollam|Kerala,Kollam,Kerala
Kottayam|Kerala,Kottayam,Kerala
Kozhikode|Kerala,Kozhikode,Kerala
Malappuram|Kerala,Malappuram,Kerala
Palakkad|Kerala,Palakkad,Kerala
Pathanamthitta|Kerala,Pathanamthitta,Kerala
Thiruvananthapuram|Kerala,Thiruvananthapuram,Kerala
Thrissur|Kerala,Thrissur,Kerala
Wayanad|Kerala,Wayanad,Kerala
Kargil|Ladakh,Kargil,Ladakh
Leh Ladakh|Ladakh,Leh Ladakh,Ladakh
Lakshadweep|Lakshadweep,Lakshadweep,Lakshadweep
Agar Malwa|Madhya Pradesh,Agar Malwa,Madhya Pradesh
Alirajpur|Madhya Pradesh,Alirajpur,Madhya Pradesh
Anuppur|Madhya Pradesh,Anuppur,Madhya Pradesh
Ashoknagar|Madhya Pradesh,Ashoknagar,Madhya Pradesh
Balaghat|Madhya Pradesh,Balaghat,Madhya Pradesh
Barwani|Madhya Pradesh,Barwani,Madhya Pradesh
Betul|Madhya Pradesh,Betul,Madhya Pradesh
Bhind|Madhya Pradesh,Bhind,Madhya Pradesh
Bhopal|Madhya Pradesh,Bhopal,Madhya Pradesh
Burhanpur|Madhya Pradesh,Burhanpur,Madhya Pradesh
Chhatarpur|Madhya Pradesh,Chhatarpur,Madhya Pradesh
Chhindwara|Madhya Pradesh,Chhindwara,Madhya Pradesh
Damoh|Madhya Pradesh,Damoh,Madhya Pradesh
Datia|Madhya Pradesh,Datia,Madhya Pradesh
Dewas|Madhya Pradesh,Dewas,Madhya Pradesh
Dhar|Madhya Pradesh,Dhar,Madhya Pradesh
Dindori|Madhya Pradesh,Dindori,Madhya Pradesh
Guna|Madhya Pradesh,Guna,Madhya Pradesh
Gwalior|Madhya Pradesh,Gwalior,Madhya Pradesh
Harda|Madhya Pradesh,Harda,Madhya Pradesh
Indore|Madhya Pradesh,Indore,Madhya Pradesh
Jabalpur|Madhya Pradesh,Jabalpur,Madhya Pradesh
Jhabua|Madhya Pradesh,Jhabua,Madhya Pradesh
Katni|Madhya Pradesh,Katni,Madhya Pradesh
Khandwa|Madhya Pradesh,Khandwa,Madhya Pradesh
Khargone|Madhya Pradesh,Khargone,Madhya Pradesh
Mandla|Madhya Pradesh,Mandla,Madhya Pradesh
Mandsaur|Madhya Pradesh,Mandsaur,Madhya Pradesh
Morena|Madhya Pradesh,Morena,Madhya Pradesh
Narmadapuram|Madhya Pradesh,Narmadapuram,Madhya Pradesh
Narsinghpur|Madhya Pradesh,Narsinghpur,Madhya Pradesh
Neemuch|Madhya Pradesh,Neemuch,Madhya Pradesh
Niwari|Madhya Pradesh,Niwari,Madhya Pradesh
Panna|Madhya Pradesh,Panna,Madhya Pradesh
Raisen|Madhya Pradesh,Raisen,Madhya Pradesh
Rajgarh|Madhya Pradesh,Rajgarh,Madhya Pradesh
Ratlam|Madhya Pradesh,Ratlam,Madhya Pradesh
Rewa|Madhya Pradesh,Rewa,Madhya Pradesh
Sagar|Madhya Pradesh,Sagar,Madhya Pradesh
Satna|Madhya Pradesh,Satna,Madhya Pradesh
Sehore|Madhya Pradesh,Sehore,Madhya Pradesh
Seoni|Madhya Pradesh,Seoni,Madhya Pradesh
Shahdol|Madhya Pradesh,Shahdol,Madhya Pradesh
Shajapur|Madhya Pradesh,Shajapur,Madhya Pradesh
Sheopur|Madhya Pradesh,Sheopur,Madhya Pradesh
Shivpuri|Madhya Pradesh,Shivpuri,Madhya Pradesh
Sidhi|Madhya Pradesh,Sidhi,Madhya Pradesh
Singrauli|Madhya Pradesh,Singrauli,Madhya Pradesh
Tikamgarh|Madhya Pradesh,Tikamgarh,Madhya Pradesh
Ujjain|Madhya Pradesh,Ujjain,Madhya Pradesh
Umaria|Madhya Pradesh,Umaria,Madhya Pradesh
Vidisha|Madhya Pradesh,Vidisha,Madhya Pradesh
Ahmednagar|Maharashtra,Ahmednagar,Maharashtra
Akola|Maharashtra,Akola,Maharashtra
Amravati|Maharashtra,Amravati,Maharashtra
Aurangabad|Maharashtra,Aurangabad,Maharashtra
Beed|Maharashtra,Beed,Maharashtra
Bhandara|Maharashtra,Bhandara,Maharashtra
Buldhana|Maharashtra,Buldhana,Maharashtra
Chandrapur|Maharashtra,Chandrapur,Maharashtra
Dhule|Maharashtra,Dhule,Maharashtra
Gadchiroli|Maharashtra,Gadchiroli,Maharashtra
Gondia|Maharashtra,Gondia,Maharashtra
Hingoli|Maharashtra,Hingoli,Maharashtra
Jalgaon|Maharashtra,Jalgaon,Maharashtra
Jalna|Maharashtra,Jalna,Maharashtra
Kolhapur|Maharashtra,Kolhapur,Maharashtra
Latur|Maharashtra,Latur,Maharashtra
Mumbai|Maharashtra,Mumbai,Maharashtra
Mumbai Suburban|Maharashtra,Mumbai Suburban,Maharashtra
Nagpur|Maharashtra,Nagpur,Maharashtra
Nanded|Maharashtra,Nanded,Maharashtra
Nandurbar|Maharashtra,Nandurbar,Maharashtra
Nashik|Maharashtra,Nashik,Maharashtra
Osmanabad|Maharashtra,Osmanabad,Maharashtra
Palghar|Maharashtra,Palghar,Maharashtra
Parbhani|Maharashtra,Parbhani,Maharashtra
Pune|Maharashtra,Pune,Maharashtra
Raigad|Maharashtra,Raigad,Maharashtra
Ratnagiri|Maharashtra,Ratnagiri,Maharashtra
Sangli|Maharashtra,Sangli,Maharashtra
Satara|Maharashtra,Satara,Maharashtra
Sindhudurg|Maharashtra,Sindhudurg,Maharashtra
Solapur|Maharashtra,Solapur,Maharashtra
Thane|Maharashtra,Thane,Maharashtra
Wardha|Maharashtra,Wardha,Maharashtra
Washim|Maharashtra,Washim,Maharashtra
Yavatmal|Maharashtra,Yavatmal,Maharashtra
Bishnupur|Manipur,Bishnupur,Manipur
Chandel|Manipur,Chandel,Manipur
Churachandpur|Manipur,Churachandpur,Manipur
Imphal East|Manipur,Imphal East,Manipur
Imphal West|Manipur,Imphal West,Manipur
Jiribam|Manipur,Jiribam,Manipur
Kakching|Manipur,Kakching,Manipur
Kamjong|Manipur,Kamjong,Manipur
Kangpokpi|Manipur,Kangpokpi,Manipur
Noney|Manipur,Noney,Manipur
Pherzawl|Manipur,Pherzawl,Manipur
Senapati|Manipur,Senapati,Manipur
Tamenglong|Manipur,Tamenglong,Manipur
Tengnoupal|Manipur,Tengnoupal,Manipur
Thoubal|Manipur,Thoubal,Manipur
Ukhrul|Manipur,Ukhrul,Manipur
East Garo Hills|Meghalaya,East Garo Hills,Meghalaya
East Jaintia Hills|Meghalaya,East Jaintia Hills,Meghalaya
East Khasi Hills|Meghalaya,East Khasi Hills,Meghalaya
Eastern West Khasi Hills|Meghalaya,Eastern West Khasi Hills,Meghalaya
North Garo Hills|Meghalaya,North Garo Hills,Meghalaya
Ri Bhoi|Meghalaya,Ri Bhoi,Meghalaya
South Garo Hills|Meghalaya,South Garo Hills,Meghalaya
South West Garo Hills|Meghalaya,South West Garo Hills,Meghalaya
South West Khasi Hills|Meghalaya,South West Khasi Hills,Meghalaya
West Garo Hills|Meghalaya,West Garo Hills,Meghalaya
West Jaintia Hills|Meghalaya,West Jaintia Hills,Meghalaya
West Khasi Hills|Meghalaya,West Khasi Hills,Meghalaya
Aizawl|Mizoram,Aizawl,Mizoram
Champhai|Mizoram,Champhai,Mizoram
Hnahthial|Mizoram,Hnahthial,Mizoram
Khawzawl|Mizoram,Khawzawl,Mizoram
Kolasib|Mizoram,Kolasib,Mizoram
Lawngtlai|Mizoram,Lawngtlai,Mizoram
Lunglei|Mizoram,Lunglei,Mizoram
Mamit|Mizoram,Mamit,Mizoram
Saitual|Mizoram,Saitual,Mizoram
Serchhip|Mizoram,Serchhip,Mizoram
Siaha|Mizoram,Siaha,Mizoram
Chumoukedima|Nagaland,Chumoukedima,Nagaland
Dimapur|Nagaland,Dimapur,Nagaland
Kiphire|Nagaland,Kiphire,Nagaland
Kohima|Nagaland,Kohima,Nagaland
Longleng|Nagaland,Longleng,Nagaland
Mokokchung|Nagaland,Mokokchung,Nagaland
Mon|Nagaland,Mon,Nagaland
Niuland|Nagaland,Niuland,Nagaland
Noklak|Nagaland,Noklak,Nagaland
Peren|Nagaland,Peren,Nagaland
Phek|Nagaland,Phek,Nagaland
Shamator|Nagaland,Shamator,Nagaland
Tseminyu|Nagaland,Tseminyu,Nagaland
Tuensang|Nagaland,Tuensang,Nagaland
Wokha|Nagaland,Wokha,Nagaland
Zunheboto|Nagaland,Zunheboto,Nagaland
Angul|Odisha,Angul,Odisha
Balangir|Odisha,Balangir,Odisha
Baleswar|Odisha,Baleswar,Odisha
Bargarh|Odisha,Bargarh,Odisha
Bhadrak|Odisha,Bhadrak,Odisha
Boudh|Odisha,Boudh,Odisha
Cuttack|Odisha,Cuttack,Odisha
Deogarh|Odisha,Deogarh,Odisha
Dhenkanal|Odisha,Dhenkanal,Odisha
Gajapati|Odisha,Gajapati,Odisha
Ganjam|Odisha,Ganjam,Odisha
Jagatsinghpur|Odisha,Jagatsinghpur,Odisha
Jajpur|Odisha,Jajpur,Odisha
Jharsuguda|Odisha,Jharsuguda,Odisha
Kalahandi|Odisha,Kalahandi,Odisha
Kandhamal|Odisha,Kandhamal,Odisha
Kendrapara|Odisha,Kendrapara,Odisha
Kendujhar|Odisha,Kendujhar,Odisha
Khordha|Odisha,Khordha,Odisha
Koraput|Odisha,Koraput,Odisha
Malkangiri|Odisha,Malkangiri,Odisha
Mayurbhanj|Odisha,Mayurbhanj,Odisha
Nabarangpur|Odisha,Nabarangpur,Odisha
Nayagarh|Odisha,Nayagarh,Odisha
Nuapada|Odisha,Nuapada,Odisha
Puri|Odisha,Puri,Odisha
Rayagada|Odisha,Rayagada,Odisha
Sambalpur|Odisha,Sambalpur,Odisha
Subarnapur|Odisha,Subarnapur,Odisha
Sundargarh|Odisha,Sundargarh,Odisha
Karaikal|Puducherry,Karaikal,Puducherry
Puducherry|Puducherry,Puducherry,Puducherry
Amritsar|Punjab,Amritsar,Punjab
Barnala|Punjab,Barnala,Punjab
Bathinda|Punjab,Bathinda,Punjab
Faridkot|Punjab,Faridkot,Punjab
Fatehgarh Sahib|Punjab,Fatehgarh Sahib,Punjab
Fazilka|Punjab,Fazilka,Punjab
Ferozepur|Punjab,Ferozepur,Punjab
Gurdaspur|Punjab,Gurdaspur,Punjab
Hoshiarpur|Punjab,Hoshiarpur,Punjab
Jalandhar|Punjab,Jalandhar,Punjab
Kapurthala|Punjab,Kapurthala,Punjab
Ludhiana|Punjab,Ludhiana,Punjab
Malerkotla|Punjab,Malerkotla,Punjab
